11	32
97	93
1	44
78	19
82	91
87	98
9	44
40	12
26	26
81	41
44	60
92	27
19	61
27	72
15	23
14	12
87	30
58	32
55	43
15	51
86	9
63	27
36	81
52	3
41	93
8	74
24	49
13	58
19	24
24	46
42	97
5	55
91	53
95	24
50	49
49	63
34	68
91	40
37	37
12	99
79	4
39	89
25	92
41	80
10	10
14	27
95	34
96	68
58	14
6	73
24	11
36	66
83	50
2	78
5	72
17	91
65	90
74	34
65	70
46	20
55	4
30	75
75	51
19	48
69	91
19	61
37	62
63	86
79	81
9	58
93	19
78	24
49	89
44	3
45	49
31	17
51	98
52	72
82	51
80	48
65	6
38	69
82	5
54	8
36	53
94	10
88	82
56	82
63	73
59	15
21	66
31	52
48	98
24	65
85	81
20	46
23	44
18	83
23	9
44	14
