83	24
50	96
27	53
9	52
44	8
83	82
66	21
89	73
67	72
61	13
35	62
22	11
46	77
66	32
57	11
78	98
31	81
45	46
24	85
41	59
72	35
9	19
96	36
4	23
89	14
60	24
30	77
19	61
19	49
58	17
30	8
34	61
13	89
59	11
89	31
21	95
39	60
56	94
63	91
26	93
73	48
46	89
11	52
14	2
59	61
72	85
11	26
57	23
21	61
36	88
41	60
62	90
37	55
4	55
62	80
78	81
95	17
93	36
90	23
27	4
72	51
67	92
2	27
52	64
60	83
44	58
20	92
63	63
83	90
39	50
32	67
15	22
9	46
55	90
1	66
98	19
75	83
56	61
11	69
24	87
5	22
60	31
29	98
35	43
97	28
76	44
49	23
67	36
34	63
63	18
37	24
96	53
64	40
22	51
48	73
12	48
3	82
55	85
15	34
76	53
